Latitude,Longitude,Speed,RoadType
34.90780016712921,-117.55628378665489,0.6910088505318268,service road
34.20007734645041,-117.01137551888085,67.61374402835749,highway
34.305580503020764,-117.80605403151762,42.947479400792744,highway
34.577013135963526,-117.58977241012848,87.54144953511518,highway
34.89753853719438,-117.71651389072937,41.75906699048889,service road
34.65012293199991,-117.13307284745251,0.006380765023650259,highway
34.92951622280246,-117.67425416183103,73.17399611296499,service road
34.5747727198624,-117.41068407766805,59.92877387232591,highway
34.09917383286526,-117.41482288486166,71.71091802818387,service road
34.556161533579655,-117.50294595500263,95.24243574059047,highway
34.23454991433583,-117.05987526043175,44.897542694824544,highway
34.01888868126164,-117.02943393204762,78.431597492074,service road
34.15888764938646,-117.23661745316791,23.629137161654544,service road
34.253069505380914,-117.79179495356064,59.5108002393944,highway
34.29202427103725,-117.46362268520757,92.29634949651607,service road
34.67467167402963,-117.42149538163126,32.8765695761401,service road
34.01700346237172,-117.43959961122425,32.70348500793941,highway
34.60898170040625,-117.84431367110435,84.68070040646441,service road
34.39123015429766,-117.9486137488136,3.683002078591935,service road
34.90073793333253,-117.16995607628901,29.882013766679737,highway
34.314668643599376,-117.64741810298027,35.72229747086379,highway
34.56183047874918,-117.08970503884655,27.00387087818865,highway
34.71249748726583,-117.26264919770702,63.75674824881392,service road
34.39628743117797,-117.77440019600095,85.94682136667059,highway
34.03935472505737,-117.48996606360924,23.52669841298991,highway
34.61083544740913,-117.53613168442,60.321195959244754,highway
34.867146688611,-117.9538304270337,98.94098756465736,service road
34.97771152173819,-117.05850624926609,14.099213330411498,service road
34.75108213274318,-117.29975852053569,62.08404959951791,service road
34.09029981024931,-117.11222963248946,43.54376956067727,highway
34.891248656294195,-117.67354786519454,19.430699147223297,highway
34.840911987600684,-117.5796397962181,8.906273497899697,highway
34.80733521568151,-117.42586119171065,62.06742079885176,service road
34.23264106158895,-117.82383937343366,79.70065098922781,highway
34.38876781846166,-117.3821339598044,59.42829603279546,highway
34.15345602432319,-117.99778988039678,86.56677413684383,highway
34.46861118897836,-117.38214803944929,96.2275033630877,service road
34.270820528344615,-117.97185429306421,43.48374361250564,highway
34.420291443968146,-117.85995613533672,52.36442491587957,highway
34.6526035644466,-117.7974739899356,67.17162423855883,service road
34.94977118798995,-117.20005831041344,9.261322391768168,highway
34.00367649410933,-117.95186698243947,82.2038449550223,service road
34.90650288734855,-117.92009561738368,91.72689192537553,service road
34.50581293366857,-117.34914090343098,64.42053637387536,highway
34.69857236958967,-117.47372001045932,94.67992992851163,service road
34.4646539948932,-117.74212403275095,68.93220475906274,highway
34.65028899712118,-117.91276620310241,33.59897772647989,highway
34.239781563879276,-117.02278601735773,63.82006555695667,highway
34.493336113515404,-117.9616265825549,73.31589607714777,highway
34.67374051256951,-117.00387217616253,77.0061989752636,service road
34.72621624762438,-117.31620109673351,53.93588536170555,highway
34.45795461920318,-117.83878003918629,89.99110138122666,highway
34.97978754709985,-117.84687457353738,30.866967883930695,service road
34.460832142986646,-117.30754901574677,96.29206768072682,service road
34.105990062415835,-117.09772636116648,49.30639647755005,highway
34.525383489122945,-117.81792592546769,22.808923847829966,service road
34.34381380497165,-117.57684110623434,54.100895369538094,service road
